Sec,RPM
916.2,1672.9
916.8,0
917.4,0
918,0
918.6,0
919.2,0
919.8,0
920.4,0
921,2441.1
921.6,2262.3
922.2,0
922.8,0
923.4,0
924,0
924.6,0
925.2,0
925.8,419.6
926.4,1777.5
927,1777.5
928.2,3018.4
928.8,2964.7
929.4,22.5
931.2,2432.8
931.8,1814.8
932.4,0
933,0
933.6,0
934.2,0
934.8,0
935.4,0
936,0
937.2,0
937.8,0
938.4,0
939,0
939.6,0
940.2,0
941.4,3152.6
942.6,57.8
943.2,56
945.6,260.1
946.2,3047.9
948.6,3152.4
949.2,2196.5
950.4,2233.5
951,2862.6
951.6,1869.9
952.2,532.7
952.8,532.7
953.4,0
954,0
954.6,0
955.2,0
955.8,0
956.4,0
958.2,3123.1
958.8,1585.5
960.6,3123
962.4,1913.2
963,3152.8
963.6,2262.1
964.2,2262.1
964.8,938.2
965.4,0
966,0
967.2,0
967.8,0
968.4,0
969,0
969.6,0
970.2,0
970.8,0
971.4,0
972,0
972.6,0
973.2,0
973.8,601.6
974.4,3153.6
975,3152.7
975.6,1519.4
976.8,2402
978,2649.8
978.6,872.2
979.8,3154
980.4,3154
981,1579.2
982.2,0
982.8,0
983.4,0
984,0
984.6,0
985.2,2.1
985.8,2.1
986.4,3095.4
987,74.3
987.6,74.3
988.2,0
988.8,0
989.4,0
990,0
990.6,408.5
991.2,3077.9
993,53.2
993.6,3053.1
995.4,1699.3
996,3153
996.6,3153
997.2,2128.9
999.6,0
1000.2,0
1000.8,0
1001.4,0
1002,0
1002.6,0
1003.2,0
1004.4,0
1005,0
1005.6,0
1006.2,0
1006.8,0
1007.4,0
1009.2,0
1009.8,0
1011.6,3123.4
1012.2,3123.4
1012.8,194.4
1014,3153.5
1015.8,1881.2
1018.2,96.8
1018.8,96.8
1019.4,1880.1
1020,1679.2
1020.6,887.7
1021.2,0
1021.8,0
1022.4,0
1023,0
1023.6,0
1024.2,0
1024.8,0
1025.4,0
1026,0
1026.6,0
1027.2,0
1027.8,0
1028.4,0
1029,1713.3
1029.6,3152.3
1031.4,1656.2
1032,1656.2
1032.6,3123.1
1033.2,944.3
1034.4,1968.1
1035,1637.8
1035.6,982.2
1036.2,982.2
1036.8,782.4
1037.4,2498.2
1038,0
1038.6,0
1039.2,0
1039.8,0
1040.4,0
1041,0
1041.6,0
1042.2,0
1042.8,0
1043.4,0
1044,0
1044.6,0
1045.2,0
1045.8,0
1046.4,0
1047,3012.5
1048.8,2200.5
1049.4,1819.9
1050,23.6
1050.6,0
1051.8,0
1052.4,0
1053,0
1053.6,0
1054.2,2507.5
1054.8,3151.7
1055.4,388.6
1056,483.8
1056.6,3152.9
1057.2,3152.9
1057.8,1724.5
1059,85.4
1059.6,0
1060.2,0
1060.8,0
1061.4,0
1062,0
1062.6,0
1063.8,3151.8
1064.4,3152.9
1065,2187.6
1066.8,2556.1
1067.4,414.5
1068,2601.4
1068.6,3152.4
1069.2,2508.9
1070.4,0
1071,0
1071.6,0
1072.2,0
1072.8,0
1073.4,0
1074,0
1074.6,0
1075.8,0
1076.4,0
1077,781.8
1077.6,3053.2
1078.2,3152.5
1078.8,2976
1080.6,3152.9
1082.4,4.9
1083,2951
1083.6,3153.1
1084.8,2311.8
1085.4,16
1086,0
1086.6,0
1087.2,0
1087.8,0
1088.4,0
1089,1725.5
1089.6,3153.2
1092,3123.1
1092.6,2239.7
1093.2,2239.7
1093.8,333.1
1094.4,3110.5
1095.6,1637.9
1096.2,0
1096.8,0
1097.4,0
1098,0
1098.6,0
1099.2,0
1099.8,0
1100.4,0
1101,0
1101.6,0
1102.2,0
1102.8,0
1103.4,0
1104,0
1104.6,0
1105.2,2504.7
1106.4,2791.2
1107,2746.8
1107.6,0
1108.8,0
1109.4,0
1110,0
1110.6,0
1111.2,0
1111.8,2306.3
1112.4,2306.3
1113,3181.8
1113.6,2187.3
1114.2,3152.6
1114.8,2080.3
1115.4,1529.4
1116,0
1116.6,0
1117.2,0
1117.8,0
1118.4,0
1119,0
1119.6,0
1122,1633.5
1122.6,0
1123.2,0
1123.8,0
1124.4,0
1125,0
1125.6,0
1126.2,0
1126.8,0
1127.4,0
1128,0
1128.6,306.6
1129.2,3123
1129.8,2694.3
1131,1546.3
1131.6,3152.4
1132.2,2054.4
